,nta_code,pop,households,age_less_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_plus,median_hh_income,hh_income_less_10,hh_income_10_to_15,hh_income_15_to_25,hh_income_25_to_35,hh_income_35_to_50,hh_income_50_to_75,hh_income_75_to_100,hh_income_100_to_150,hh_income_150_to_200,hh_income_200_plus,below_poverty,edu_none,edu_high_school,edu_college,commute_walk,commute_public,commute_car,health_insurance_coverage,disability,not_us_citizen,lang_spanish,lang_chinese,lang_russian,lang_indic,lang_french_creole,lang_korean,homeval_less_50,homeval_50_to_100,homeval_100_to_150,homeval_150_to_200,homeval_200_to_300,homeval_300_to_500,homeval_500_to_1m,homeval_1m_plus,rent_less_500,rent_500_to_1000,rent_1000_to_1500,rent_1500_to_2000,rent_2000_to_2500,rent_2500_to_3000,rent_3000_plus,average_hh_size
169,BX28,50100,17359,3583,3176,3315,3987,4029,3991,3592,3314,3519,3675,3291,2995,2333,5300,40669,2119,1306,1952,2227,2543,3467,1919,1276,431,119,12966,9118,8862,9381,2070,14635,4620,43548,5495,10650,11578,209,135,34,34,176,1230,232,174,132,360,523,345,16,951,2827,8136,2498,192,50,21,2.8
170,BX37,29250,9626,2057,2072,2092,2204,2141,2242,2240,2046,2139,2057,1919,1559,1264,3218,44588,921,650,1165,1118,1368,1815,957,1250,245,137,6740,4664,5422,5852,1078,6629,4268,25029,3597,5583,4157,205,14,602,3,0,135,32,45,28,131,1429,746,32,200,1066,3588,1615,232,26,13,3.05
171,MN35,67136,25647,3875,3278,3411,4208,6501,5997,5213,4761,4704,4457,4469,4142,3523,8597,50192,2673,1600,3078,2385,3046,4527,3311,2941,921,1165,15373,14700,7770,22891,4138,24173,4134,64288,7621,18010,22028,266,522,0,28,37,314,32,0,25,605,1076,941,204,1274,5078,8546,5214,1397,499,214,2.75
172,MN36,84438,29028,4501,4022,4486,5888,8377,8417,6680,5610,5646,5650,5474,5088,4316,10283,36518,3818,2542,3958,3767,3796,4915,2680,2218,606,728,24999,20988,13117,23410,5495,28801,5157,78597,12524,22027,33425,216,94,0,285,58,177,99,66,28,334,494,592,169,2976,7248,8332,5074,2353,423,253,3.12
173,BK23,17750,8116,506,485,507,575,798,863,810,875,838,1090,1266,1506,2109,5522,38047,1115,917,1187,539,1142,1257,629,810,409,111,2480,749,2659,8481,603,3688,2217,14821,3828,1286,89,5,6262,0,0,47,601,134,13,96,1076,1018,373,93,643,1677,1664,311,243,64,0,1.94
174,BX63,39282,12621,3357,3070,3043,3384,3369,3082,2950,2793,2819,2716,2406,1934,1597,2762,27637,2187,1677,1932,1837,1914,1728,691,518,120,17,13850,8139,5851,5041,1046,10609,2134,31470,5854,10104,12337,44,0,228,3,0,52,10,43,41,74,63,28,8,1398,3249,6275,1273,190,0,0,2.84
175,BX08,35011,11675,2751,2635,2561,3049,2954,2883,2578,2387,2326,2415,2121,1677,1361,3313,29382,2060,1212,1922,1332,1489,1446,965,926,194,129,12700,8885,6430,3344,744,8588,3274,30093,5593,7710,9056,93,0,217,0,8,124,122,144,53,55,653,643,24,1798,1875,4135,1434,215,19,0,3.0
176,SI22,33551,11828,2491,2523,2407,2732,2470,2405,2419,2288,2331,2497,2325,1975,1548,3140,48439,1801,804,1279,936,1220,1712,1469,1530,687,390,8769,3310,6117,7625,782,5968,5894,29906,3600,3303,2178,248,41,118,36,45,112,65,170,285,885,2607,749,76,1155,1962,2582,937,288,49,5,2.7
177,MN23,66880,37601,2219,1568,1054,3795,5313,9747,8103,5865,4637,4244,3938,3900,3798,8699,112689,1697,866,1820,1724,2395,4712,3923,5915,4345,10204,4005,855,2905,47407,10788,21583,2695,64364,4082,7397,451,348,6,9,0,57,118,112,183,20,144,1113,4002,6697,407,2482,3453,3016,4566,3817,6220,1.68
178,BX59,27248,8875,1927,1907,2029,2128,2160,2092,1979,1912,1951,1938,1774,1427,1247,2777,45536,1111,562,1194,854,1128,1633,1058,910,200,225,7015,4753,5675,4747,633,7032,3472,24752,3468,4713,4550,304,0,965,0,23,106,21,27,37,137,1494,476,27,424,889,3187,1514,506,21,19,3.1
179,SI07,24102,9170,1390,1436,1473,1520,1340,1438,1508,1577,1739,1883,1912,1651,1461,3774,82128,493,244,711,414,744,1602,1322,2030,905,705,2164,1279,4930,7598,264,2869,7515,22891,2691,1140,202,110,27,45,0,99,114,22,77,43,429,3941,2148,67,41,456,708,608,119,76,0,2.65
180,QN49,30773,11472,1554,1564,1682,1627,1580,1710,1940,1972,2221,2278,2219,2173,2143,6110,80546,416,303,943,813,983,1964,1415,2664,1021,950,1544,3079,6239,9937,401,3146,10092,28180,3144,2906,1127,2059,109,10,9,1093,142,74,105,124,548,1521,4736,1183,43,153,781,1023,255,245,0,2.78
181,BX44,61321,20715,4539,4593,4532,5083,4598,4363,4026,3773,4348,4521,4121,3390,2790,6644,39178,3086,1369,2721,2287,2944,3722,2063,1847,457,219,15425,9097,12837,11292,1284,14493,9286,56433,8791,10772,4620,85,22,166,54,26,342,234,167,171,529,3740,1165,10,1294,2949,6815,2783,744,142,0,2.98
182,BK72,32926,8328,5637,4081,3517,3404,3019,2397,1613,1246,951,1037,1235,1478,1125,2186,21502,1516,1490,1630,1052,811,935,395,312,48,139,17882,4251,5541,1608,4330,1773,2000,32273,2456,912,982,32,104,0,0,0,8,71,4,0,35,218,583,132,1847,2053,1564,973,589,61,10,4.03
183,BK40,20988,9372,1447,1054,878,759,1105,1971,2211,2174,1701,1467,1420,1265,1038,2498,82297,515,421,546,682,691,1443,1329,1977,733,1035,1872,1348,1606,11133,746,8037,1835,20853,1799,2002,503,530,429,461,42,0,54,52,40,55,310,685,1619,1087,238,466,1183,1432,1146,326,270,2.41
184,QN53,56674,17286,3641,3642,3983,4395,4584,4392,4138,4170,4367,4388,3962,3270,2621,5121,61804,984,668,1756,1462,2214,3284,2413,2532,1116,857,8651,9852,12519,12416,1513,16665,10104,54394,6000,13015,10315,2107,63,1877,26,83,164,85,134,279,738,4678,2787,78,150,831,3732,2836,424,32,24,3.62
185,BX62,42483,15000,2562,2550,2833,3046,3054,3338,2837,2826,3106,3166,3049,2529,2223,5364,55443,1296,820,1388,1463,1823,2676,2289,2074,819,352,6355,5314,9668,10818,953,9894,8872,39488,5107,6165,1893,59,0,10,164,8,169,186,165,245,435,4298,1371,66,464,1120,3642,1967,338,51,17,2.95
186,QN63,45099,16010,2415,2265,2105,2274,3328,4488,4401,3835,3514,3270,3100,2537,2146,5421,50952,969,699,1715,1800,2694,2923,1994,2097,640,479,6513,7512,9211,12805,1100,15366,4781,36854,3189,15553,7642,2500,89,2267,7,872,423,56,214,516,1354,813,2017,130,192,1440,4235,3170,1002,118,42,2.84
187,MN32,77942,44191,3751,2633,2152,1849,5375,11411,9299,6436,5487,4788,4592,4608,4624,10937,98840,2080,1280,3186,1972,2958,5628,5234,7652,4127,10074,5553,1967,4827,55291,6404,33132,3975,76767,6668,8771,1587,726,184,0,0,60,476,133,94,135,640,1844,4803,3628,1640,2833,3238,7019,6874,4411,5900,1.83
